tweet_id,isi,author,content
Sat Feb 24 13:17:08 +0000 2024,@bengkeldodo @prabowo @gibran_tweet Mas wali @gibran_tweet          menghadap pak Prabowo  Senyumim saja merekaÂ² ya pak @prabowo https://t.co/PjufefaGRL,NoviBudi78,"@bengkeldodo @prabowo @gibran_tweet mas wali @gibran_tweet facing Mr. Prabowo, just smiling they are, sir @prabowo https://t.co/pjufefagrl"
Sat Feb 24 13:17:03 +0000 2024,@ZahwaDot @H4T14K4LN4L42 @jokowi @psi_id @prabowo @gibran_tweet Sebatas tolol aja argumentasi lu?,Blue_Git,@Zahwadot @h4t14k4ln4l42 @jokowi @psi_id @prabowo @gibran_tweet is just a stupid argument?
Sat Feb 24 13:16:27 +0000 2024,"@Chavesz08 Yaaa deh iyaaa, semua soal bantu membantu cuma pak prabowo dan pak gibran dibantu juga sama presiden juga pamannya yg di MK, pak anies gak pernah bantu siapa-siapa.",nofexbhrslm,"@Chavesz08 yeah yeah, all of them, all the help help only Mr. Prabowo and Mr. Gibran are also assisted by the president as well as his uncle who is in the Court, Mr. Anies never helped anyone."
Sat Feb 24 13:16:01 +0000 2024,@DokterTifa @prabowo klo bener sesuai prediksi saya waktu @prabowo menemui Gibran samsul ke Solo...dulu wakti belum nyapres.,BRizaldie,@Doktetifa @prabowo if it is true according to my prediction when @prabowo met Gibran Samsul to Solo ... Previously Wakti had not been presidential.
Sat Feb 24 13:15:54 +0000 2024,@H4T14K4LN4L42 @jokowi @psi_id @prabowo @gibran_tweet Rakyat terus bergerak,tegsun780,@H4t14k4ln4l42 @jokowi @psi_id @prabowo @gibran_tweet people keep moving
Sat Feb 24 13:15:52 +0000 2024,@LingkaranHidup @H4T14K4LN4L42 @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd ðŸ¤£ðŸ˜‚ðŸ¤£ðŸ˜‚ðŸ¤£ðŸ˜‚ Versi resmi bang 58% masih nyangkal aja.. Emang kalau gagal terus gak boleh coba lagi. Falsafah hidup lo cetek bang,a_arsa,@Lingkaranhidat @h4t14k4ln4l42 @anisbaswedan @cakiminow @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd ð £ £ £ £ £ £ You can't try anymore. Your life philosophy
Sat Feb 24 13:15:10 +0000 2024,"@mbhfur @sefkelik Mengkritisi pempus yang dipimpin oleh orang semodel Soeharto, Jokowi, Prabowo, atau Gibran?  ðŸ˜‚",clqrt,"@mbhfur @Sefkelik criticized the Pempus led by Semodel Suharto, Jokowi, Prabowo, or Gibran? ð"
Sat Feb 24 13:15:02 +0000 2024,"@Tan_Mar3M jadi buat warga Indonesia, jika ketemu prabowo gibran atau jokowi...cuekin saja sambil main gundu..",MasboyK,"@Tan_mar3m so for Indonesian citizens, if you meet Prabowo Gibran or Jokowi ... just ignore it while playing Gundu .."
Sat Feb 24 13:14:51 +0000 2024,@H4T14K4LN4L42 @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd Ayo Pejuang PERUBAHAN.... Semangat ðŸ’ªðŸ’ªðŸ’ª.... Hari Esok milik Kita... sebarkan tagar... #AminPresiden2024 #StopSiRekapKPU,MucChoiri,@H4t14k4ln4l42 @anisbaswedan @cakiminow @prabowo @jokowi @gibran_tweet @Ganjarpranowo @mohmahfudmd Come on Change ... Spirit ð'ª'ª'ª Stopsirekapkpu
Sat Feb 24 13:14:23 +0000 2024,Beras makin mahal semenjak penyaluran bansos oleh presiden untuk kampanye gelap prabowo gibran.,rahman_platonis,Rice has become more expensive since the distribution of social assistance by the president for Prabowo Gibran's dark campaign.
Sat Feb 24 13:13:33 +0000 2024,Kalah karena jokowi ngerahin semuanya buat prabowo gibran. Panjang bener nulisnya,521RB,Lose because Jokowi gave up everything for Prabowo Gibran. Length really wrote it
Sat Feb 24 13:12:41 +0000 2024,@mimih6mei Selamat untuk bapak prabowo dan mas gibran yang sudah terpilih untuk melanjutkan kinerja pak de jokowi,Jeniferrse,@mimih6mei congratulations to Mr. Prabowo and Mas Gibran who have been selected to continue the performance of Mr. De Jokowi
Sat Feb 24 13:12:05 +0000 2024,@H4T14K4LN4L42 @jokowi @psi_id @prabowo @gibran_tweet Kalah pilpres membuat orang kehilangan akal sehat,b1e9ca97b7144d3,@H4t14k4ln4l42 @jokowi @psi_id @prabowo @gibran_tweet losing the presidential election makes people lose their minds
Sat Feb 24 13:12:04 +0000 2024,@Iteung_aja @prabowo @gibran_tweet @zy_zy_its_me @habiburokhman @CCICPolri @ListyoSigitP @DivHumas_Polri Dihapus tanpa minta maaf ya?,ronavioleta,@Iteung_aja @prabowo @gibran_tweet @zy_zy_its_me @habiburokhman @ccicpolri @listyosigitp @divhumas_polri is deleted without apologizing huh?
Sat Feb 24 13:10:34 +0000 2024,AHY Saran Rekonsiliasi Ketimbang Hak Angket: Prabowo-Gibran Unggul dan Marginnya Besar https://t.co/XCWISTHZMf #Pemilu,liputan6dotcom,AHY Reconciliation Suggestions Instead of Questionnaire Rights: Prabowo-gibran is superior and big margin https://t.co/xcwisthzmf #pemilu
Sat Feb 24 13:10:23 +0000 2024,Semenjak Prabowo Gibran Menang Pilpres Kok TL X gw sepi ya. Ga ada yang koar2 lagi...,MarioSirait,"Since Prabowo Gibran won the presidential election, how come I was quiet. No one anymore ..."
Sat Feb 24 13:10:21 +0000 2024,"@a_arsa @H4T14K4LN4L42 @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd Yg berkali2 gagal tetep maju, yg dibawah umur pakai jasa paman, yg sebar bansos...dapet beras berapa kilo loe? ðŸ¤£ RC 58%?? Versi lembaga survei ke",LingkaranHidup,"@a_arsa @h4t14k4ln4l42 @anisbaswedan @cakiminow @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd who many times failed to advance, the under age of the services of uncle services, the bansos ... ð £ £ 58%?? Survey Institute Version to"
Sat Feb 24 13:09:56 +0000 2024,"@gen_gibran Sudah gak sabaran banget untuk merayakan kemenangan prabowogibran, gaspoll ðŸ”¥ðŸ”¥",Jeniferrse,"@gen_gibran is very impatient to celebrate Prabowogibran's victory, gaspoll ð ""¥ ð"" ¥"
Sat Feb 24 13:08:09 +0000 2024,@ivancahyadi88 @H4T14K4LN4L42 @jokowi @psi_id @prabowo @gibran_tweet wkwk hasilnya udah keluar?,Agent_Sergents,@Ivancahyadi88 @h4t14k4ln4l42 @jokowi @psi_id @prabowo @gibran_tweet wkwk the results have come out?
Sat Feb 24 13:07:58 +0000 2024,@HendroSP02 @prabowo @gibran_tweet Hahahaha lucu2 kucinge,NyaiiBubu,@Hendrosp02 @prabowo @gibran_tweet hahahaha funny2 cat
Sat Feb 24 13:05:49 +0000 2024,"Gibran dan keblunderannya. Bisabisanya nenteng cup starbucks sesantai ituðŸ˜­.  Lg dimusim begini makin abis deh pasangan pragib digoreng masaðŸ˜­ setelah keblunderan prabowo, datanglah gibran. Alamakk yaudahlah",monkeydluffys5,"Gibran and his keblunderan. It can carry the starbucks cup as relaxed. LG in this season, more and more after the Pragib couple is fried in the past. Alamakk, okay"
Sat Feb 24 13:04:18 +0000 2024,AHY sebut hilirisasi warisan SBY Prabowo-Gibran diminta perkuat lagi agromaritim.. wgv  AgusYudhoyono PDemokrat Demokrat Peduli https://t.co/TbUoUjLLd3,arkan4735857333,AHY calls downstreaming SBY Prabowo-Gibran's heritage was asked to strengthen Agromaritim again .. WGV Agusyudhoyono PDEMOKRAT DEMOKRAT CARE HTTSS://t.co/tbuoujlld3
Sat Feb 24 13:04:06 +0000 2024,Prabowo-Gibran membuka peluang untuk pembentukan kementerian koordinator baru yang khusus mengurus program makan siang dan susu gratis.  Download #MetroTVXtend sekarang di Play Store dan App Store.  #prabowosubianto #gibranrakabumingraka #makansianggratis https://t.co/YnqPbsfATI,Metro_TV,Prabowo-gibran opens opportunities for the formation of a new Coordinating Ministry that specifically takes care of lunch and free milk programs. Download #MetrotvXTEND Now in the Play Store and App Store. #Prabowosubianto #Gibranrakabumingraka #Makansanggratis https://t.co/ynqpbsfati
Sat Feb 24 13:04:03 +0000 2024,"@panjol_03 @__AnakKolong @PDI_Perjuangan Betul. Itu negara hutang atas perintah Mega. Jokowi itu gak bisa apa-apa, gak bisa mimpin negara. Selama 9 thn ini Jokowi hanya ikut perintah Mega. Bahkan Gibran jg ditunjuk Mega untuk dampingi Prabowo. Dan Mega pe",Fr4nst,"@panjol_03 @__anakkolong @pdi_perjuangan right. That's a debt country on Mega's orders. Jokowi can't do anything, can't lead the country. During these 9 years Jokowi only followed Mega's orders. Even Gibran was also appointed by Mega to accompany Prabowo. And Mega PE"
Sat Feb 24 13:03:37 +0000 2024,"Terbukti menangkan pilpres 2 kali, pengamat nilai peran Demokrat menangkan Prabowo-Gibran sangat vital.. elg  PDemokrat AgusYudhoyono Demokrat Peduli https://t.co/96JdhAdmcC",arkan4735857333,"Proven to win the presidential election twice, observer the value of the Democrat's role won Prabowo-Gibran is very vital .. Elg PDEMOKRAT AGUSYUDHOYONO DEMOKRAT CARE HTTSS://t.co/96jdhadmcccc"
Sat Feb 24 13:03:31 +0000 2024,"All out menangkan Prabowoâ€“Gibran, AHY: Kita wujudkan kesejahteraan rakyat.. olv  PDemokrat AgusYudhoyono Demokrat Peduli https://t.co/hlgV6HDIom",arkan4735857333,"All Out Wins Prabowoâ € ""Gibran, AHY: We realize the welfare of the people."
Sat Feb 24 13:02:58 +0000 2024,@kompascom Menyambut kemenangan Prabowo-Gibran: https://t.co/0ZZrKCmgwV,rahayu_sandera,@kompascom welcomes Prabowo-gibran's victory: https://t.co/0zzrkcmgwv
Sat Feb 24 13:02:28 +0000 2024,@BosPurwa Semoga pak prabowo @prabowo  dan mas   @gibran_tweet  setelah memerintah jangan mau kerjasama pak brewok,DosaSeabrek,"@Bospurwa, hopefully Mr. Prabowo @prabowo and mas @gibran_tweet after governing do not want to cooperate with Mr. Brewok"
Sat Feb 24 13:02:12 +0000 2024,@capymawa pendukung prabowo gibran,mediterariaa_,@capymawa supporters of Prabowo Gibran
Sat Feb 24 13:02:00 +0000 2024,@LingkaranHidup @H4T14K4LN4L42 @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd Yang haus kekuasaan siapa yang ngotot siapa.. Yang curang siapa.. ðŸ˜‚ðŸ˜…ðŸ¤£ Kalau dari data ya pede lah menang. 58% RC.,a_arsa,@Lingkaranhidat @h4t14k4ln4l42 @anisbaswedan @cakiminow @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd who is thirsty for whom is the insistent who is ... 58% RC.
Sat Feb 24 13:01:49 +0000 2024,AHY ajak warga Semarang menangkan Prabowo-Gibran agar Indonesia semakin maju. `_u  PDemokrat AgusYudhoyono Demokrat Peduli https://t.co/EmD8KUUpc2,arkan4735857333,AHY invites Semarang residents to win Prabowo-Gibran so that Indonesia is more advanced. `_U PDEMOKRAT AGUSYUDHOYONO DEMOKRAT Cares https://t.co/emd8kuupc2
Sat Feb 24 13:01:15 +0000 2024,Kucing Jadi Saksi Bisu Pertemuan Prabowo-Gibran: Hanya Laila dan Pasha yang Tahu Obrolan Kami https://t.co/CH345OUnOb,pikiran_rakyat,The cat is a silent witness to the Prabowo-Gibran meeting: only Laila and Pasha know our chat https://t.co/ch345ounob
Sat Feb 24 13:01:09 +0000 2024,@prabowo @gibran_tweet @prabowogibran2 kirim medis lah bang kasian,wyze_tw,@prabowo @gibran_tweet @prabowogibran2 Send medical
Sat Feb 24 13:01:08 +0000 2024,SBY dan AHY kompak ajak masyarakat Banyuwangi pilih Prabowo-Gibran. apu  AgusYudhoyono PDemokrat Demokrat Peduli https://t.co/FHcrqGO4Y9,arkan4735857333,SBY and AHY are compact inviting the Banyuwangi community to choose Prabowo-Gibran. APU AGUSYUDHOYONO PDEMOKRAT DEMOKRAT CARE HTTSS://T.co/FHCRQGO4Y9
Sat Feb 24 13:01:06 +0000 2024,"Terlihat dengan setia pak SBY, presiden ke 6 Indonesia di atas panggung bersama dengan mas AHY juga mendukung Prabowo Gibran.. gph  PDemokrat AgusYudhoyono Demokrat Peduli https://t.co/Y2CjlP05UR",arkan4735857333,"Seen faithfully Pak SBY, the 6th Indonesian president on stage together with Mas AHY also supports Prabowo Gibran .. GPH PDEMOKRAT AGUSYUDHOYONO DEMOKRAT CARE HTTSS://t.co/y2cjlp05ur"
Sat Feb 24 13:01:03 +0000 2024,Bapak SBY dan Mas AHY pun duduk diatas panggung ikut serta mendukung Prabowo Gibran. ojt  AgusYudhoyono PDemokrat Demokrat Peduli https://t.co/2Vng9ciRtp,arkan4735857333,Mr. SBY and Mas AHY sat on the stage participating in supporting Prabowo Gibran. Ojt Agusyudhoyono PDEMOKRAT DEMOKRAT Cares https://t.co/2vng9cirtp
Sat Feb 24 13:00:44 +0000 2024,"Gk usah kahwatir den, Prabowo-Gibran pasti dilantik jadi presiden NKRI",wonggendheng00,"No need to worry about Den, Prabowo-Gibran must be appointed President of the Republic of Indonesia"
Sat Feb 24 13:00:40 +0000 2024,"Menutup masa kampanye, @PDemokrat hadir all out di GBK untuk merapatkan barisan menangkan Prabowo-Gibran.. ezf  AgusYudhoyono PDemokrat Demokrat Peduli https://t.co/daB7cWqjjp",arkan4735857333,"Closing the campaign period, @pdemokrat is present all out at GBK to close the line of winning Prabowo-gibran .. Ezf Agusyudhoyono PDEMOKRAT DEMOKRAT Cares https://t.co/dab7cwqjjp"
Sat Feb 24 13:00:03 +0000 2024,@kacangkdele Pendukung Prabowo dan Gibran bisa tantrum baca ini,pumurhati,@kacangkele supporters of Prabowo and Gibran can tantrum reading this
Sat Feb 24 12:59:00 +0000 2024,"Maman Abdurrahman: Bersatunya SBY, Jokowi dan Prabowo Bakal Bikin Indonesia Lebih Maju #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/MARjJtIOJN",golkarpedia,"Maman Abdurrahman: The union of SBY, Jokowi and Prabowo will make Indonesia more advanced #airlangguharto #kuningkeren #prabowogibran #partaigolkar #golkarpedia https://t.co/marjjtiojn"
Sat Feb 24 12:58:59 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/oU9LXfuiY3,kila78278322174,Thousands of Demo Students Support KPU and Bawaslu Election Results are People's Votes #Pemiludamai #Rukun #Rukun #Damai #Pilpres2024 #KPU #Bawaslu #CawahPres #anisbaswedan #Prabowo #Ganjarpranowo #Cakimin #Gibran #MAHFUDMD #ma #mk #ky https://t.co/ou9lxfuiy3
Sat Feb 24 12:58:44 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/9xWfwsJfrH,kila78278322174,Thousands of Demo Students Support KPU and Bawaslu Election Results are People's Votes #Pemiludamai #Rukun #Rukun #Damai #Pilpres2024 #KPU #Bawaslu #CawahPres #anisbaswedan #Prabowo #Ganjarpranowo #Cakimin #Gibran #MAHFUDMD #ma #mk #ky https://t.co/9xwfwsjfrh
Sat Feb 24 12:58:35 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/Zt0pg9knLo,kila78278322174,Thousands of Demo Students Support KPU and Bawaslu Election Results are People's Votes #Pemiludamai #Rukun #Rukun #Damai #Pilpres2024 #KPU #Bawaslu #CawahPres #anisbaswedan #Prabowo #Ganjarpranowo #Cakimin #Gibran #MAHFUDMD #ma #mk #ky https://t.co/zt0pg9knlo
Sat Feb 24 12:58:14 +0000 2024,Pemerintah Bahas Program Makan Siang Gratis Prabowo-Gibran Pekan Depan https://t.co/te91IRi2uu,Bisniscom,The government discusses the free lunch program Prabowo-gibran next week https://t.co/te91iri2uu
Sat Feb 24 12:58:00 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/B3Gkvtc7VQ,kila78278322174,Thousands of Demo Students Support KPU and Bawaslu Election Results are People's Votes #Pemiludamai #Rukun #Rukun #Damai #Pilpres2024 #KPU #Bawaslu #CawahPres #anisbaswedan #Prabowo #Ganjarpranowo #Cakimin #Gibran #MAHFUDMD #ma #mk #ky https://t.co/b3gkvtc7vq
Sat Feb 24 12:57:54 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/eesFHbIjMS,kila78278322174,Thousands of Demo Students Support KPU and Bawaslu Election Results are People's Votes #Pemiludamai #Rukun #Rukun #Damai #Pilpres2024 #KPU #Bawaslu #CawahPres #anisbaswedan #Prabowo #Ganjarpranowo #Cakimin #Gibran #MAHFUDMD #ma #mk #ky https://t.co/eesfhbijms
Sat Feb 24 12:57:48 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/bskVrxE0xL,kila78278322174,Thousands of Demo Students Support KPU and Bawaslu Election Results are People's Votes #Pemiludamai #Rukun #Rukun #Damai #Pilpres2024 #KPU #Bawaslu #CawahPres #anisbaswedan #Prabowo #Ganjarpranowo #Cakimin #Gibran #MAHFUDMD #ma #mk #ky https://t.co/bskvrxe0xl
Sat Feb 24 12:57:45 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/AYk4M710Cf,kila78278322174,Thousands of Demo Students Support KPU and Bawaslu Election Results are People's Votes #Pemiludamai #Rukun #Rukun #Damai #Pilpres2024 #KPU #Bawaslu #CawahPres #anisbaswedan #Prabowo #Ganjarpranowo #Cakimin #Gibran #MAHFUDMD #ma #mk #ky https://t.co/ayk4m710cf
Sat Feb 24 12:57:42 +0000 2024,@Priyo__Muhammad @KompasTV Pemilu kemaren sama seperti referendum jelas pilih prabowo gibran 58 persen sbg presiden.,Thieryaryadi,@Priyo__muhammad @kompastv election yesterday the same as a referendum clearly selecting Prabowo Gibran 58 percent as president.
Sat Feb 24 12:57:40 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/fM9rWEKAgT,kila78278322174,Thousands of Demo Students Support KPU and Bawaslu Election Results are People's Votes #Pemiludamai #Rukun #Rukun #Damai #Pilpres2024 #KPU #Bawaslu #CawahPres #anisbaswedan #Prabowo #Ganjarpranowo #Cakimin #Gibran #MAHFUDMD #ma #mk #ky https://t.co/fm9rwekagt
Sat Feb 24 12:57:29 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/Pl0hOeZgxE,kila78278322174,Thousands of Demo Students Support KPU and Bawaslu Election Results are People's Votes #Pemiludamai #Rukun #Rukun #Damai #Pilpres2024 #KPU #Bawaslu #CawahPres #anisbaswedan #Prabowo #Ganjarpranowo #Cakimin #Gibran #MAHFUDMD #ma #mk #ky https://t.co/pl0hoezgxe
Sat Feb 24 12:57:27 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/6puPUpgwjU,kila78278322174,Thousands of Demo Students Support KPU and Bawaslu Election Results are People's Votes #Pemiludamai #Rukun #Rukun #Damai #Pilpres2024 #KPU #Bawaslu #CawahPres #anisbaswedan #Prabowo #Ganjarpranowo #Cakimin #Gibran #MAHFUDMD #ma #mk #ky https://t.co/6pupupgwju
Sat Feb 24 12:57:20 +0000 2024,AHY sebut hilirisasi warisan SBY Prabowo-Gibran diminta perkuat lagi agromaritim.. wgv  AgusYudhoyono PDemokrat Demokrat Peduli https://t.co/Vk4ozodIXo,alvin1495424,AHY calls downstreaming SBY Prabowo-Gibran's inheritance asks to strengthen Agromaritim .. WGV Agusyudhoyono PDEMOKRAT DEMOKRAT CARE HTTSS://T.co/VK4OZODIXO
Sat Feb 24 12:57:18 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/5TTSXHNlTj,kila78278322174,Thousands of Demo Students Support KPU and Bawaslu Election Results are People's Votes #Pemiludamai #Rukun #Rukun #Damai #Pilpres2024 #KPU #Bawaslu #CawahPres #anisbaswedan #Prabowo #Ganjarpranowo #Cakimin #Gibran #MAHFUDMD #ma #mk #ky https://t.co/5ttsxhnltj
Sat Feb 24 12:57:10 +0000 2024,"Viral Bocoran Kabinet EraÂ Prabowo-Gibran, Ada Erick Tohir hingga AHY, Gerindra Buka Fakta Sebenarnya https://t.co/B8SIQqHuqT",SidoarjoWarta,"Viral Leaks of Prabowo-Gibran Era Cabinet, there is Erick Tohir to AHY, Gerindra opens the actual facts https://t.co/b8siqqhuqt"
Sat Feb 24 12:57:02 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/g1F7UAdXRk,kila78278322174,Thousands of Demo Students Support KPU and Bawaslu Election Results are People's Votes #Pemiludamai #Rukun #Rukun #Damai #Pilpres2024 #KPU #Bawaslu #CawahPres #anisbaswedan #Prabowo #Ganjarpranowo #Cakimin #Gibran #MAHFUDMD #ma #mk #ky https://t.co/g1f7uadxrk
